# No Expectations leads triaged to lane C7 — 149 albums. Format: artist | album | year | label | n_posts | URLs | note
Slow Pulp | Yard | 2023 | ANTI- | 4 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 ; https://www.noexpectations.fyi/p/slow-pulp-emily-massey-interview-yard ; https://www.noexpectations.fyi/p/best-new-tracks-music-q3-2023 | Soaring alt-rock warmed by Americana hues and pristine pop hooks, ten tracks with no filler; recorded at an internet-less cabin where a Lucinda Williams CD set the tone.
Smushie | Cicero Pizza Anthology | 2025 |  | 3 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Seventeen madcap ambient-oddball rock songs in a Ram-era McCartney / Van Dyke Parks spirit.
Smushie | Doofus Casanova | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention.
Snocaps | Snocaps | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Sofia Wolfson | Imposing on a Hometown | 2024 |  | 1 | https://www.noexpectations.fyi/p/music-will-prove-you-wrong | Infectious indie pop where every hook is rendered with care and any track could be a single.
Spoils | Mile Wide Inch Deep | 2026 |  | 2 | https://www.noexpectations.fyi/p/my-new-band-believe-spoils-national-photo-committee ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | No-frills rock with massive hooks and riffs recalling aughts alt-rock.
Star Moles | Highway to Hell | 2026 |  | 2 | https://www.noexpectations.fyi/p/star-moles-lala-lala-pileup ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Witty, whimsical folk-pop recorded casually and intimately, with playful piano and timeless arrangements.
Star Moles | Snack Monster | 2025 |  | 3 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/star-moles-lala-lala-pileup ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Charming, masterfully written Tascam-recorded bedroom pop from Philadelphia with timeless melodies.
Strange Ranger | Remembering the Rockets | 2019 |  | 1 | https://www.noexpectations.fyi/p/best-new-tracks-music-q3-2023 | Cited as part of the band's emo-tinged indie rock era before the electronic turn.
Sun Seeker | House of Gold | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Inviting, infectious power pop, breezy and occasionally rowdy, with relatable millennial lyrics.
Sunday Mourners | A-Rhythm Absolute | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-132-penny-in-the ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Blistering jangle and frantic post-punk fusing C86 and Flying Nun with contemporary swagger.
Superviolet | Infinite Spring | 2023 |  | 4 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/can-you-have-a-career-in-music-journalism ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Named for the first euphoric day of spring; songs written while falling in love and getting married; album-of-the-year contender.
Swapmeet | Mount Zero | 2026 |  | 1 | https://www.noexpectations.fyi/p/tommy-goodroad-swapmeet-kevin-copeland | Debut merging anthemic '90s alt-rock fuzz with hushed bedroom-pop intimacy and dual vocals.
Taxidermists | 20247 | 2025 |  | 3 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | No-frills lo-fi garage rock recorded in a garage, explosive and rambunctious.
The Belair Lip Bombs | Again | 2025 | Third Man Records | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Frenetic interlocking guitars and pop-ready choruses; some of the finest power pop of 2025, produced by RBCF's Joe White.
The Brights | Oyster Rock! | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Australian quintet playing laid-back, sturdy indie rock with subtle twang, jangle and AM-radio songwriting.
The Bug Club | On the Intricate Inner Workings of the System | 2024 | Sub Pop | 1 | https://www.noexpectations.fyi/p/new-lps-why-bonnie-bug-club-lia-kohl-sima | Welsh trio's catchy, sarcasm-laden garage-punk with killer hooks and clanging solos; their 2023 LP made his year-end list.
The Bug Club | Rare Birds: Hour of Song | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | South Wales trio's 47-track second LP of relentlessly catchy, fuzz-wrapped garage pop with great dual-singer chemistry.
The Bug Club | Very Human Features | 2025 |  | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Raucous, hook-laden oddball garage rock pairing simple pop melodies with ramshackle energy.
The Clientele | I Am Not There Anymore | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
The Tubs | Cotton Crown | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
This Is Lorelei | Box For Buddy, Box For Star | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Nate Amos's set of perfect pop songs between Postal Service, Big Star and Magnetic Fields.
This Is Lorelei | Holo Boy | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Twin Peaks | Down in Heaven | 2016 |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | A staggering level-up with new member Colin Croom.
Twin Peaks | Lookout Low | 2019 |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | Album for which he wrote the bio/liner notes.
Twin Peaks | Sunken | 2012 |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | 2012 cassette debut sequenced like their early setlists, played in full as an encore at the Thalia Hall residency.
Twin Peaks | Sweet '17 Singles |  |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | He calls this singles collection his true all-timer from the band.
Twin Peaks | Urbs in Horto |  |  | 1 | https://www.noexpectations.fyi/p/in-defense-of-live-albums | Live album from shows Terry attended; brings him back to being 25.
Twin Peaks | Wild Onion |  |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | Sophomore LP that was tighter, more artful and craft-oriented than garage-rock peers.
Ulna | Gazebo | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Ex-Bnny member Adam Schubert's minor-key, unflinching folk-rock with Ella Williams and Alexa Viscius guesting.
Video Age | Away From the Castle | 2023 |  | 3 | https://www.noexpectations.fyi/p/remembering-the-itunes-free-single-of-the-week ; https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | New Orleans band's songwriters' album of pristine harmonies and hooks that sound effortless the way Steely Dan or the Beach Boys do.
Warehouse | Tesseract | 2015 |  | 1 | https://www.noexpectations.fyi/p/five-lps-donald-byrd-hftrr-kglw-gizz-gbv | Kinetic indie rock with a fiery frontperson and interlocking jangly guitar jams.
Warm Human | Hometown Hero | 2023 |  | 3 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Johnston picks up a guitar and indulges her indie rock impulses; conversational lyrics soften uncompromising introspection.
Weak Signal | Fine | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | No-frills, noisy but accessible New York rock with sardonic vocals and bombastic riffs.
Weak Signal | War&War |  |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | New York band Rosali praises for musicianship and a sound that is distinctive yet familiar.
Wishy | Triple Seven | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-closebye-wishy-lindsay-reamer | Indiana band blending infectious melodies with shoegaze and nostalgic '90s/'00s radio-rock, even nu-metal, touches.
Youbet | Way To Be | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | New York trio's knotty indie rock with raspy vocal contortions.
youbet | youbet | 2026 |  | 2 | https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Innovative indie rock blending grunge swagger and wonky riffs, ranging from combustible rockers to acoustic and slowcore moments.
Zero Point Energy | Tilted Planet | 2024 |  | 1 | https://www.noexpectations.fyi/p/five-lps-donald-byrd-hftrr-kglw-gizz-gbv | Debut from former Warehouse members, out about a month.
Zook | Evaporating | 2025 |  | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Rewarding, knotty, chameleonic indie rock with jangle, synths and drum machines; one song is the best Pavement never wrote.
