# No Expectations leads triaged to lane C5 — 122 albums. Format: artist | album | year | label | n_posts | URLs | note
Shoulderbird | Neighbors | 2025 |  | 2 | https://www.noexpectations.fyi/p/new-lps-orbital-ensemble-shoulderbird-plusser ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Eight modest, intimate tracks of folksy, potent Midwest Americana from Meredith Nesbitt of Hannah Frances' and Minor Moon's bands.
Sima Cunningham | High Roller | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-why-bonnie-bug-club-lia-kohl-sima | Ornate, emotionally heavy folk from one half of Finom, cut with Clay Frankel and Elizabeth Moen, ending on a cathartic grief song.
Spencer Hoffman | Apple Core | 2024 |  | 1 | https://www.noexpectations.fyi/p/resavoir-spencer-hoffman-vega-dialup-ghost | Named as the 2024 predecessor to Cherry Picker.
Spencer Hoffman | Cherry Picker | 2026 |  | 2 | https://www.noexpectations.fyi/p/resavoir-spencer-hoffman-vega-dialup-ghost ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Buoyant, bittersweet folk-rock with acoustic guitars, piano and orchestral touches.
Stella Donnelly | Love and Fortune | 2025 |  | 2 | https://www.noexpectations.fyi/p/spencer-radcliffe-sword-ii-stella-donnelly-saintseneca-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Her most introspective work: sparse production framing conversational, funny, incisive lyrics and timeless melodies.
Sunny War | Anarchist Gospel | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | LA songwriter's sixth LP fuses roots, gospel and blues over 14 urgent tracks about heartbreak.
Sunny War | Armageddon In A Summer Dress | 2025 |  | 3 | https://www.noexpectations.fyi/p/what-writing-100-newsletters-does-to-a-mf ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Kinetic follow-up to Anarchist Gospel's roots-gospel-blues-country blend, with Valerie June and Tre Burt guesting.
Tara Jane O'Neil | The Cool Cloud of Okayness | 2024 | Orindal Records | 1 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir | Knotty, dense, patient listening that veers between mesmerizing folk, psych drone and glitchy ambient.
Tenci | A Swollen River, A Well Overflowing | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
The Weather Station | Humanhood | 2025 |  | 3 | https://www.noexpectations.fyi/p/the-best-albums-of-january-2025-so-far ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Leans into improvisation, patience and lived-in arrangements with effusive pop moments.
TOLEDO | How It Ends | 2022 |  | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs | Duo singing nearly every line in harmony with finish-each-other's-sentences chemistry; songwriters in the vein of Elliott Smith and Golden Daze; Terry wrote the bio.
villagerrr | Carousel | 2026 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far ; https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Sweepingly emotional indie rock with whirling fuzz, winsome harmonies and Midwestern lullabies.
Villagerrr | Like Leaves | 2023 |  | 2 | https://www.noexpectations.fyi/p/spotify-vertical-feed-algorithm-ai-dj-koth ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Ohio project making tasteful, subdued, instantly palatable indie rock; discovered via Greg Freeman; 'Alone' and single 'barn burnerrr' recommended.
Villagerrr | Tear Your Heart Out | 2024 |  | 4 | https://www.noexpectations.fyi/p/the-no-expectations-blogroll ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Columbus songwriter Mark Allen Scott's fourth LP of homespun, big-hearted Midwestern songs, with Merce Lemon guesting.
Wildflower | Green World | 2024 |  | 3 | https://www.noexpectations.fyi/p/hannah-frances-mannequin-pussy-wildflower-new-lp ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Lush, adventurous folk with ample twang and jazz-minded experimentation; the platonic spring record.
Will Hasell | Roadkill Heart | 2026 |  | 1 | https://www.noexpectations.fyi/p/nina-winder-lind-will-hasell-johanna-samuels-kiwi-jr | Eclectic 15-track set of introspective folk rock and piano pieces with unexpected modulations; he calls it a surprise AOTY contender for 2026.
Will Lawrence | Rooftops in the Centerfold | 2025 |  | 2 | https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Understated, masterful folk mining a dusky, nostalgic, tasteful palette across eight tracks.
Will Stratton | Points of Origin | 2025 |  | 4 | https://www.noexpectations.fyi/p/fust-silver-synthetic-tobacco-city-will-stratton ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review | Blurb not captured (fetch truncated); cited elsewhere in the slice as a comparison for dusky, tasteful folk.
