id	artist	album	year	lane	secondary	priority	start_here	lineage
A0617	Golden Apples	Bananasugarfire	2023	C7		Deep cut		Big Star melodicism via Philadelphia's power-pop revival.
A0618	Graham Hunt	Try Not To Laugh	2023	C7		Deep cut		Sits between If You Knew Would You Believe It? and Timeless World Forever in Hunt's self-released discography.
A0619	Hotline TNT	Cartwheel	2023	C7	X9	Recommended		Sits between shoegaze fuzz and the jangle-pop tradition, sounding indebted to Guided by Voices' song-fragment economy.
A0620	King Tuff	Smalltown Stardust	2023	C7		Deep cut		King Tuff's catalog runs from 2000s garage-punk through Sub Pop glam-rock; Smalltown Stardust pulls him into the same jangly, twang-adjacent revival as his 2010s peers.
A0621	Liquid Mike	S/T	2023	C7		Recommended		A Marquette, Michigan strain of pop-punk-inflected power pop, indebted to Fountains of Wayne's hook density and 1990s Midwest punk energy.
A0622	Mac DeMarco	Five Easy Hot Dogs	2023	C7		Deep cut		Extends the bedroom-pop haze of his Captured Tracks records into instrumental territory, closer to Jim O'Rourke's ambient side than to Pavement.
A0623	Sharp Pins	Turtle Rock	2023	C7		Recommended		Sounds indebted to the Big Star power-pop lineage by way of lo-fi, self-recorded bedroom pop.
A0624	Slow Pulp	Yard	2023	C7	C4	Essential		Extends Moveys' shoegaze-pop into more overtly Americana-tinged territory, sounding close to the countrygaze lineage of Wednesday and Great Grandpa.
A0625	Speedy Ortiz	Rabbit Rabbit	2023	C7		Recommended		The most expansive entry in Speedy Ortiz's noisy indie-rock lineage from Major Arcana onward, still rooted in the same angular guitar tangle.
A0626	Superviolet	Infinite Spring	2023	C7		Essential		A Columbus, Ohio power-pop project in the Teenage Fanclub/Superchunk lineage, part of the same 2020s power-pop revival as Sharp Pins and Hurry.
A0627	Terry	Call Me Terry	2023	C7		Recommended		A late-period expansion of the same Melbourne art-punk lineage, sharing members with Total Control and UV Race, that produced Terry HQ.
A0628	Truth Club	Running From the Chase	2023	C7		Essential		Continues Truth Club's basement-scene, Pavement/GBV-descended jangle-and-noise songwriting into a more polished, emotionally direct register.
A0629	The Tubs	Dead Meat	2023	C7		Recommended		Direct descendant of classic jangle-pop (The Feelies, early R.E.M., Flying Nun bands).
A0630	Video Age	Away From The Castle	2023	C7		Recommended		Descends from breezy 70s pop-rock songwriting filtered through 2010s New Orleans indie pop.
A0631	2nd Grade	Scheduled Explosions	2024	C7		Essential		The latest entry in 2nd Grade's GBV/Big Star-indebted-sounding power-pop project, part of Philadelphia's mid-2020s jangle-pop scene.
A0632	The Bug Club	On the Intricate Inner Workings of the System	2024	C7	C9	Recommended		Sounds indebted to Nuggets garage and the talky deadpan of Jonathan Richman and the Modern Lovers.
A0633	Ducks Ltd.	Harm's Way	2024	C7		Essential		Builds on Modern Fiction's jangle foundation with a bigger, more collaborative studio sound.
A0634	FOOTBALLHEAD	Overthinking Everything	2024	C7		Deep cut		Released on Tiny Engines, a label historically associated with emo and twangy emo crossovers, connecting it to the C9 emo-crossover lane as well as straight power pop.
A0635	Golomb	Love	2024	C7		Deep cut		Sounds of a piece with the current Midwest DIY noise-rock underground where it overlaps with the slacker/jangle scene at its loudest edge.
A0636	Hovvdy	Hovvdy	2024	C7		Deep cut		Continues Hovvdy's lo-fi slacker-pop arc toward fuller production.
A0637	Jon McKiel	Hex	2024	C7	C6	Recommended		Continues the Crocker/McKiel partnership begun on Bobby Joe Hope, part of the same You've Changed Records lineage.
A0638	lake j	Dizzy	2024	C7		Recommended		A solo offshoot of Twin Peaks' garage-jangle songwriting, filtered through cleaner electronic production.
A0639	Major Murphy	Fallout	2024	C7	C6	Recommended		Extends Major Murphy's own hybrid of 1990s indie rock and 1970s soft-rock songwriting established on Access, sounding indebted to Big Star's more orchestrated moments.
A0640	Nap Eyes	The Neon Gate	2024	C7		Recommended		Latest chapter in Nap Eyes' jangle songwriting, which sounds indebted to Silver Jews and the Velvet Underground.
A0641	Rui Gabriel	Compassion	2024	C7		Recommended		A solo power-pop outlet that sounds indebted to Wilco's Summerteeth-era studio pop.
A0642	This Is Lorelei	Box for Buddy, Box for Star	2024	C7		Essential		Sounds indebted to Big Star power-pop songwriting, filtered through home-recorded, synth-augmented indie pop.
A0643	Wishy	Triple Seven	2024	C7		Recommended		Sounds indebted to the Big Star power-pop line crossed with 90s alt-rock guitar tones.
A0644	Alex G	Headlights	2025	C7		Recommended		Continues Alex G's arc from Bandcamp lo-fi into a wider, still jangle-rooted indie-pop palette.
A0645	Astrachan	Signs	2025	C7		Deep cut		Sounds of a piece with Chicago acts like Smushie and Shoulderbird, connecting classic-rock revivalism to the current power-pop/jangle underground.
A0646	The Belair Lip Bombs	Again	2025	C7		Recommended		Sounds indebted to Melbourne's interlocking-guitar jangle rock in the Rolling Blackouts C.F. mold, now on Third Man Records' power-pop and garage-rock roster.
A0647	The Bug Club	Very Human Features	2025	C7		Recommended		Continues the band's garage-punk-to-power-pop evolution begun on Green Dream in F#, now filtered through a major indie label's reach.
A0648	Car Seat Headrest	The Scholars	2025	C7		Recommended		A return to the anthemic guitar-rock lineage of Teens of Denial after the band's synth-pop experiment, keeping Toledo's literary songwriting intact.
A0649	Cash Langdon	Dogs	2025	C7	C2	Recommended		Sounds indebted to Neil Young & Crazy Horse fuzz, with Wilco's Americana-pop as a touchstone.
A0650	Casper Skulls	Kit-Cat	2025	C7		Recommended		Continues the jangle-pop lineage established on Buzz Records, now on Next Door Records with a warmer, more assured sound.
A0651	The Convenience	Like Cartoon Vampires	2025	C7		Deep cut		Part of New Orleans' current jangle/slacker cluster alongside Lawn.
A0652	Frog	1000 Variations On the Same Song	2025	C7	C2	Recommended		A long-running New York DIY act that sounds indebted to Drag City-style funny-sad songwriting, filtered through the lo-fi Bandcamp underground.
A0653	Golden Apples	Shooting Star	2025	C7		Recommended		Sounds indebted to Big Star and Elephant 6 melodicism, sitting within Philadelphia's current power-pop scene.
A0654	Golomb	The Beat Goes On	2025	C7		Deep cut		Sounds indebted to Pavement's loose song-suite structure and Built to Spill's guitar interplay.
A0655	Good Flying Birds	Talulah's Tape	2025	C7		Deep cut		Sounds indebted to Guided by Voices and Beat Happening's DIY-jangle lineage.
A0656	Graham Hunt	Timeless World Forever	2025	C7		Deep cut		Part of Hunt's ongoing solo catalog that runs directly into American Pyramid's bigger studio sound.
A0657	Horsegirl	Phonetics On and On	2025	C7		Recommended		Continues Horsegirl's post-punk and jangle sound, akin to Pavement, toward cleaner pop songwriting.
A0658	Lawn	God Made The Highway	2025	C7		Essential		Continues Lawn's power-pop/post-punk hybrid songwriting into a bigger, punchier register.
A0659	Mac DeMarco	Guitar	2025	C7		Recommended		A return to the vocal jangle-pop songwriting of Salad Days and This Old Dog after an instrumental record, still rooted in his Captured Tracks-era slacker sound.
A0660	Neu Blume	Let It Win	2025	C7		Recommended		Sounds indebted to the DIY jangle/college-radio line (Big Star, Flying Nun), filtered through 2020s Midwest indie rock.
A0661	Sharp Pins	Balloon Balloon Balloon	2025	C7		Recommended		Extends Sharp Pins' Nuggets/Big Star-sounding jangle-pop into a longer, more song-crammed format, released through K Records and Perennial.
A0662	Sharp Pins	Radio DDR	2025	C7		Recommended		Follows Turtle Rock in the 1960s-garage-into-Big-Star jangle-pop lineage; its release through K Records/Perennial places it in a long-running indie-pop label network.
A0663	This Is Lorelei	Holo Boy	2025	C7		Recommended		A deliberate reconnection to Amos's earlier lo-fi Bandcamp songwriting, following Box for Buddy, Box for Star.
A0664	The Tubs	Cotton Crown	2025	C7		Recommended		Continues The Tubs' jangle-pop, which sounds indebted to '80s British and Antipodean guitar pop.
A0665	Zook	Evaporating	2025	C7		Recommended		Continues Zook's homemade jangle/synth-pop hybrid songwriting, which sounds indebted to Pavement's slacker guitar-pop.
A0666	2nd Grade	Girls and Boys	2026	C7		Recommended		Gill's membership in Friendship ties 2nd Grade to the same Philadelphia scene as Friendship and Hurry; the songwriting sounds indebted to Big Star and Guided by Voices.
A0667	Bullseye	Bullseye	2026	C7		Deep cut		Signed to the New York label Ever/Never, which ties the band into the current DIY jangle/twang underground.
A0668	Casual Technicians	Well Once There Was A King	2026	C7	C5	Deep cut		Sounds indebted to the lo-fi, kitchen-sink home-taping tradition of GBV and Sebadoh, filtered through a 2020s Bandcamp DIY sensibility.
A0669	Feller	Sound Colored Penny	2026	C7		Deep cut		Released via Fire Talk's Angel Tapes imprint, which ties the band into the current DIY guitar-pop underground.
A0670	Graham Hunt	American Pyramid	2026	C7		Recommended		Hunt's self-released catalog moving from bedroom recording toward a bigger studio sound while keeping the same playful, hook-heavy songwriting.
A0671	Hiding Places	The Secret To Good Living	2026	C7	C4	Deep cut		Formed within North Carolina's twang-and-shoegaze scene before relocating to Brooklyn; its sound sits between C4 countrygaze and straighter, heavier guitar rock.
A0672	Jackie West	Silent Century	2026	C7		Deep cut		Part of the same small Brooklyn songwriter-collaborator scene as Adeline Hotel, Office Culture and The Bird Calls.
A0673	Joe Glass	Snakewards	2026	C7		Deep cut		Sounds indebted to Nuggets-era garage rock and '90s indie jangle.
A0674	kitship	am i a rock?	2026	C7	C5	Deep cut		Sounds akin to the current Chicago Bandcamp slacker/lo-fi network around acts like Sharp Pins.
A0675	Liz Cooper	New Day	2026	C7		Recommended		Sounds like a former jam/psych-rock guitarist moving toward a more concise, jangle-adjacent indie-pop songwriting style.
A0676	Remember Sports	The Refrigerator	2026	C7		Recommended		Latest chapter of Remember Sports' Philadelphia DIY power-pop lineage.
A0677	Slow Pulp	Melodie	2026	C7	C4	Recommended		A continuation of Yard's shoegaze-meets-Americana synthesis, pushing further into polished, radio-ready alt-rock.
A0678	Snail Mail	Ricochet	2026	C7		Recommended		Continues Snail Mail's own lineage from Lush through Valentine, staying within confessional, guitar-led jangle-pop songwriting.
A0679	Sunday Mourners	A-Rhythm Absolute	2026	C7		Recommended		A direct 2020s continuation of the Flying Nun/C86 jangle lineage that runs through this whole lane.
A0680	The Tubs	Hard Life	2026	C7		Essential		Builds directly on Dead Meat and Cotton Crown's jangle-pop songwriting, deepening the band's British folk-jangle hybrid.
A0681	Wishy	Nature's Pill	2026	C7	C4	Recommended		Continues Wishy's fusion of shoegaze guitar-wall production with 1990s power-pop songwriting established on Triple Seven.
A0682	Horse Jumper of Love	Horse Jumper of Love	2016	C8		Recommended		Sounds indebted to Duster and Codeine-style slowcore fed through a melodic, riff-driven Boston indie-rock lens; precedes the band's run of Run for Cover albums.
A0683	Dead Sullivan	Imbecile	2017	C8		Deep cut		A direct predecessor to Teethe, tying Dead Sullivan to the same Texas slowcore lineage that runs through this lane.
A0684	Friendship	Shock Out of Season	2017	C8		Deep cut		Early Philadelphia-era record; the twisted, ambient-pedal-steel take on Americana heard on Friendship's later Merge records seems to start here.
A0685	Lomelda	Thx	2017	C8	C5	Recommended		An early Lomelda record and precursor to M for Empathy and Hannah; its hushed songs sound akin to the 2010s Bandcamp folk scene.
A0686	Widowspeak	Expect the Best	2017	C8		Recommended		Follows All Yours and lays groundwork for the country-tinged twang that deepens on Plum and The Jacket.
A0687	Low	Double Negative	2018	C8	V12	Essential		A late-career reinvention of Low's own slowcore template, pushed into noise and glitch textures that resemble what younger hushed and noise-leaning bands were exploring in the 2010s.
A0688	Duster	Duster	2019	C8	V12	Recommended		A 2019 reunion by a 1990s V12 band that lands squarely in the modern slowcore revival it helped inspire; filed primary in C8 with V12 as secondary.
A0689	Friendship	Dreamin'	2019	C8		Recommended		A bridge between Friendship's rougher early records and the fuller Merge albums to come; its unhurried, country-inflected hush sounds akin to Lomelda.
A0690	Horse Jumper of Love	So Divine	2019	C8		Recommended		First album for Run for Cover, the label that would house the band through its most acclaimed run; still sounds indebted to Duster/Codeine slowcore.
A0691	Lomelda	M for Empathy	2019	C8	C5	Deep cut		The quietest turn in Lomelda's catalog between Thx and Hannah, sounding akin to the hushed Texas and Bandcamp folk of the 2010s.
A0692	Lomelda	Hannah	2020	C8	C5	Essential	Y	Consolidates the hushed songwriting of Thx and M for Empathy into a fuller sound.
A0693	Squirrel Flower	I Was Born Swimming	2020	C8	C1	Recommended		An early, quieter entry in a catalog that grows steadily louder and sounds more countrygaze-indebted with each release.
A0694	Teethe	Teethe	2020	C8		Deep cut		Sounds rooted in Texas DIY slowcore; a rawer predecessor to the more polished Magic of the Sale.
A0695	Widowspeak	Plum	2020	C8		Recommended		Follows Expect the Best and precedes The Jacket in Widowspeak's later-career turn toward a twangier, more overtly country-inflected version of their dream-pop sound.
A0696	Bnny	Everything	2021	C8		Recommended		The record that established Bnny's hushed, grief-soaked sound, setting up the fuller-band, more shoegaze-inflected One Million Love Songs.
A0697	Friendship	Love the Stranger	2022	C8		Essential	Y	Friendship's move to Merge after earlier small-label records carried their slow-burn, country-tinged indie rock to a wider audience.
A0698	hemlock	Talk Soon	2022	C8		Recommended		Early, fully self-recorded hemlock LP that establishes the hushed, song-a-day approach Chauffe later builds on; sounds close to Lomelda's plainspoken Texas hush.
A0699	Horse Jumper of Love	Natural Part	2022	C8		Recommended		Continues the band's Run for Cover run; sounds akin to Duster and Bedhead and sits among 2020s slowcore revival bands.
A0700	The Namby Pamby	Marketplace	2022	C8		Deep cut		A small-market Midwest counterpart to the slowcore-adjacent bands (Horse Jumper of Love, Teethe) this lane tracks.
A0701	Widowspeak	The Jacket	2022	C8		Recommended		The most explicitly twangy Widowspeak record, extending the country turn begun on Plum.
A0702	Cantuckee	Sounds	2023	C8	C5	Deep cut		A side outlet for villagerrr's songwriter, sharing that band's hushed, homespun sound.
A0703	Fog Lake	Midnight Society	2023	C8		Recommended		Part of Powell's long-running, prolific solo bedroom-folk catalog; sounds like a lo-fi Canadian counterpart to the American hushed-twang scene this lane tracks.
A0704	Hataałii	Singing Into Darkness	2023	C8		Recommended		First widely heard record from Hataałii; establishes the slow, serene surf-country sound he expands on Waiting for a Sign and I'll Be Around.
A0705	Horse Jumper of Love	Heartbreak Rules	2023	C8		Deep cut		A steady continuation of the band's Run for Cover-era sound between Natural Part and Disaster Trick.
A0706	Meernaa	I Believe In You	2023	C8		Deep cut		Extends Meernaa's hushed songwriting, which sounds suspended between Duster-style haze and modern indie folk.
A0707	Sluice	Radial Gate	2023	C8		Recommended		Sounds akin to the Durham/Triangle DIY folk-rock circle around Fust; its hushed, country-tinged songwriting leads into Companion.
A0708	22º Halo	Lily of the Valley	2024	C8	C5	Deep cut		Sounds akin to Philadelphia's hushed, homemade strand of indie folk.
A0709	Bloomsday	Heart of the Artichoke	2024	C8	C5	Recommended		Sounds akin to the hushed-folk collaborator network around Babehoven and Lomelda.
A0710	Bnny	One Million Love Songs	2024	C8		Recommended		Continues the grief-driven songwriting of Everything with a fuller, noisier Chicago band sound.
A0711	Fine	Rocky Top Ballads	2024	C8		Deep cut		Part of the current hushed-twang wave that pairs slowcore dynamics with bluegrass instrumentation, in the vein of Duster-descended acts.
A0712	Hataałii	Waiting for a Sign	2024	C8		Recommended		Second Dangerbird Records LP, continuing the hushed, ornate Americana Hataałii built on Singing Into Darkness.
A0713	hemlock	444	2024	C8		Essential		hemlock's most fully-realized full-band record to date, built from years of solo song-a-day recordings; a direct peer to Lomelda and Little Mazarn's Texas/Midwest hushed-folk circle.
A0714	hemlock	amen!	2024	C8		Deep cut		Bridges hemlock's earlier solo phone-fi work and the full-band 444; sounds rooted in the same Texas hushed-folk orbit as Lomelda.
A0715	Horse Jumper of Love	Disaster Trick	2024	C8		Recommended		The band's most recent full-length, continuing its Run for Cover run as one of the most visible modern slowcore-adjacent groups.
A0716	Little Kid	A Million Easy Payments	2024	C8		Recommended		Toronto songwriter Kenny Boothby's project shares Orindal Records with Friendship and sounds akin to that label's quiet, folk-leaning roster.
A0717	Loving	Any Light	2024	C8		Deep cut		A Canadian counterpart to the hushed American folk-rock this lane tracks, working at its own unhurried pace outside any particular scene.
A0718	vega	trust me, i'm trying	2024	C8		Recommended		Sounds akin to the Burlington, Vermont DIY scene around Greg Freeman that feeds this lane's softer end.
A0719	Clifford	Golden Caravan	2025	C8		Deep cut		Sounds akin to the Boston indie-rock underground of Horse Jumper of Love, mixing slowcore heaviness with a lighter, country-tinged jangle.
A0720	Finnish Postcard	Body	2025	C8		Deep cut		Sits at the emo-adjacent, slowcore-leaning edge of this lane, closer to Horse Jumper of Love and Joyer than to overt twang.
A0721	Friendship	Caveman Wakes Up	2025	C8		Essential		Continues Friendship's slow, twang-inflected songwriting with more polish and range, staying rooted in the same understated, funny-sad register.
A0722	h. pruz	Red sky at morning	2025	C8	C5	Recommended		Sounds akin to the Florist/Told Slant hushed-folk orbit that also feeds the C8 lane.
A0723	Hataałii	I'll Be Around	2025	C8		Deep cut		Third full-length, moving from Dangerbird to the Panther Mountain imprint while keeping the same hushed, baritone-led sound.
A0724	Hour	Subminiature	2025	C8		Deep cut		A touring-diary document in Hour's catalog before Ghost Bridge, part of the same Dear Life Records world as Cormier-O'Leary's band Friendship.
A0725	Joyer	On the Other End of the Line...	2025	C8		Recommended		Its pull toward folk and twang, after a more purely shoegaze-pop prior record, sounds akin to Horse Jumper of Love and places it at this lane's edge.
A0726	Little Mazarn	Mustang Island	2025	C8		Recommended		Austin's Little Mazarn sounds rooted in the same hushed, Texas folk network as Lomelda and hemlock, following Texas River Song.
A0727	lots of hands	into a pretty room	2025	C8		Recommended		Shares Fire Talk Records with Bnny and Fran, part of that label's hushed, home-recorded strand of indie rock.
A0728	Maneka	bathes and listens	2025	C8		Recommended		McKnight (formerly of Speedy Ortiz and Grass Is Green) built Maneka as a showcase for genre-crossing songwriting; the slowcore passages sound akin to Horse Jumper of Love and Joyer.
A0729	Otto Benson	Peanut	2025	C8		Recommended		Released through the WNOADIARWB collective; its hushed, pedal-steel-laced sound is akin to Friendship and Lomelda's country-tinged quiet.
A0730	Perren	The Spot	2025	C8		Deep cut		A small, self-recorded entry in the same breezy, low-key bedroom-folk vein as klark sound and kitship.
A0731	Teethe	Magic of the Sale	2025	C8		Recommended		Teethe's sophomore LP, refining the slow, hushed sound of their self-titled debut with richer, more country-tinged arrangements.
A0732	Babehoven	I See Them, I See Me	2026	C8	C5	Recommended		Babehoven's move toward a fuller, more countrified sound, still close to the hushed-folk network of this lane.
A0733	Hana Stretton	tiarn	2026	C8		Deep cut		A quieter, ambient-leaning entry that sounds akin to the modern hushed-folk scene this lane tracks.
A0734	Hour	Ghost Bridge	2026	C8		Deep cut		Cormier-O'Leary also plays in Friendship, and Hour shares Dear Life Records with that Philadelphia deadpan/slowcore circle.
A0735	Shabason & Krgovich	Four Days in June	2026	C8	C6	Recommended		Sounds indebted to '90s pop-country and Cosmic American touchstones while keeping the duo's own understated, plainspoken songwriting.
A0736	Shep Treasure	Blanket	2026	C8		Deep cut		Follows Shep Treasure's earlier EPs; its hushed, murky sound is akin to Joyer's East Coast DIY folk-rock.
A0737	Sluice	Companion	2026	C8		Recommended		A follow-up to Radial Gate, deepening Sluice's hushed, conversational folk-rock.
A0738	vega	beacon, how blue	2026	C8		Deep cut		Second vega LP, continuing Molly Meehan's plainspoken, gently twangy Burlington indie-folk songwriting.
A0739	Widowspeak	Roses	2026	C8		Recommended		Follows Widowspeak's quieter Captured Tracks albums (Expect the Best, Plum, The Jacket), continuing what sounds like a late-career drift from dream pop toward the C8 sound.
A0740	Hop Along	Get Disowned	2012	C9		Recommended		Originally released on Hot Green Records; its emo-adjacent songwriting sounds like an antecedent to later Core bands such as Cusp.
A0741	Pinegrove	Meridian	2012	C9		Deep cut		Grew out of New Jersey DIY house shows; the seed that Cardinal refined into an alt-country/emo hybrid that later Core bands sound indebted to.
A0742	Hop Along	Painted Shut	2015	C9		Recommended		First Hop Along album on Saddle Creek; sounds like an antecedent to the emotionally direct, character-driven indie rock of younger Core bands such as Cusp and Wednesday.
A0743	Pinegrove	Cardinal	2016	C9		Essential	Y	Followed the self-released Meridian and the Everything So Far anthology; its blend of Crazy Horse-lite guitar and confessional emo phrasing is echoed by Slaughter Beach, Dog, Cusp and other Core bands.
A0744	Slaughter Beach, Dog	Welcome	2016	C9		Recommended		Jake Ewald's post-Modern Baseball project, moving from pop-punk toward the alt-country and heartland-rock songwriting of Slaughter Beach, Dog's later records.
A0745	Strange Ranger	Rot Forever	2016	C9	C7	Deep cut		The starting point of what became Strange Ranger's emo-twang crossover songwriting; it sounds akin to the Tiny Engines-adjacent DIY scene of bands like Free Cake for Every Creature.
A0746	Slaughter Beach, Dog	Birdie	2017	C9		Recommended		Follows Welcome; continues the band's move from Modern Baseball-adjacent emo toward a full alt-country and heartland-rock sound.
A0747	Strange Ranger	Daymoon	2017	C9	C7	Deep cut		Continues the twangy emo-crossover songwriting begun as Sioux Falls, moving toward the fuller sound of Remembering the Rockets.
A0748	Hop Along	Bark Your Head Off, Dog	2018	C9		Recommended		Third full-length from the Philadelphia band; its emo-to-indie-rock arc sounds akin to fellow Philadelphia acts like Slaughter Beach, Dog.
A0749	Pinegrove	Skylight	2018	C9		Recommended		Bridges Cardinal and the Rough Trade era; released independently in 2018 after the band's hiatus.
A0750	Slaughter Beach, Dog	Safe and Also No Fear	2019	C9		Recommended		Third LP; deepens the alt-country storytelling of Welcome and Birdie with more ambitious production.
A0751	Strange Ranger	Remembering the Rockets	2019	C9	C7	Recommended		The culmination of Strange Ranger's twangy emo-crossover songwriting before the band moved toward electronic textures on later records.
A0752	Pinegrove	Marigold	2020	C9		Recommended		First album on Rough Trade, following the band's independent years; represents the emo-twang crossover moving toward a more polished, festival-ready sound.
A0753	Sinai Vessel	Ground Aswim	2020	C9		Recommended		Follows the more emo-scaled Brokenlegged; sounds like a step toward the twangier indie rock of the Core.
A0754	Slaughter Beach, Dog	At the Moonbase	2020	C9		Deep cut		Follows Safe and Also No Fear in the band's run on Lame-O Records.
A0755	Home Is Where	i became birds	2021	C9		Essential		Set the template for the band's fusion of American Football-style emo with country and folk instrumentation that the whaler expanded on.
A0756	Oceanator	Nothing's Ever Fine	2022	C9		Recommended		Sounds descended from 2000s emo and pop-punk filtered through 2020s indie-rock production, close in spirit to the emo-twang crossover of bands like Strange Ranger.
A0757	Pinegrove	11:11	2022	C9		Recommended		Second Rough Trade album; continues the band's move from DIY confessional songwriting toward larger, more communal themes.
A0758	Cusp	You Can Do It All	2023	C9		Recommended		Sounds close to the Chicago emo-twang axis of Friko and to Warehouse, Mothers and Ovlov.
A0759	Home Is Where	the whaler	2023	C9		Essential	Y	Second LP, following the breakout i became birds; sounds like proof the emo-twang crossover extends beyond the Wednesday/MJ Lenderman axis, alongside Cusp and Twine.
A0760	Slaughter Beach, Dog	Crying, Laughing, Waving, Smiling	2023	C9		Essential		Fifth full-length; the fullest, most settled version yet of the alt-country songwriting Ewald began developing after Modern Baseball.
A0761	Strange Ranger	Pure Music	2023	C9	C7	Essential		A return to guitar-based twangy indie rock after a synth-pop detour, closing the band's arc from Rot Forever through Remembering the Rockets.
A0762	Friko	Where We've Been, Where We Go From Here	2024	C9		Essential		Emerged from Chicago's DIY scene; folds Midwest emo's emotional extremity into anthemic indie rock that sounds as close to Broken Social Scene and Neutral Milk Hotel as to twangier Core peers.
A0763	Sinai Vessel	I SING	2024	C9		Recommended		Third full-length; the clearest example yet of Sinai Vessel's drift from emo toward Americana-inflected indie rock.
A0764	Twine	New Old Horse	2024	C9		Essential		Sounds indebted to Unwound and Fugazi's post-hardcore dynamics, carried into the twangier, string-laced emo of the 2020s Core scene.
A0765	Cusp	What I Want Doesn't Want Me Back	2025	C9		Essential		Follows You Can Do It All; the move to Exploding In Sound places them near other Chicago and Northeast emo-twang crossover acts.
A0766	Twine	Deer In The Headlights	2025	C9		Deep cut		Follows New Old Horse; continues the Fugazi-to-countrygaze pull the earlier LP set out.
A0767	Friko	Something Worth Waiting For	2026	C9		Recommended		Follows Where We've Been, Where We Go From Here; the band's continued expansion of Chicago DIY emo-rock into more orchestral, art-rock territory.
A0768	midwest, post death	post recovery	2026	C9	C5	Deep cut		Folk-punk-leaning emo that sounds indebted to Titus Andronicus's rowdier moments and the Pinegrove-era emo-twang crossover; its acoustic instruments tie it to the DIY folk revival around the Core.
A0769	proun	Maybe Luck	2026	C9		Recommended		Released on Good English Records; sounds akin to the emo-into-twang wave of Cusp and Twine, but with a more explicitly folk, pedal-steel palette.
A0770	Centro-matic	Redo the Stacks	1997	V1		Deep cut		Launches Will Johnson's Centro-matic and, with it, the Denton, Texas wing of the Molina/Magnolia orbit.
A0771	Songs: Ohia	Hecla & Griper	1997	V1		Deep cut		A same-year companion to the Songs: Ohia debut LP, part of the flood of early Secretly Canadian releases that established Molina's stark solo sound before the full band arrived.
A0772	Songs: Ohia	Songs: Ohia	1997	V1		Essential	Y	Molina's first single came out on Will Oldham's Palace Records, and this album sounds kin to the same lo-fi, DIY folk underground; it established the voice-and-guitar minimalism that later Songs: Ohia and Magnolia Electric Co. records built from or reacted against.
A0773	Songs: Ohia	Impala	1998	V1		Recommended		Bridges the stripped-down debut and the fuller-band Axxess & Ace, part of Molina's rapid early run of Secretly Canadian-adjacent releases out of the Bloomington/Chicago underground.
A0774	Centro-matic	Navigational	1999	V1		Deep cut		Continues Centro-matic's fast, fuzz-heavy development toward the fuller alt-country/Crazy Horse sound of 'Distance and Clime' and 'Love You Just the Same'.
A0775	Songs: Ohia	Axxess & Ace	1999	V1		Recommended		Continues the Secretly Canadian run that runs from Songs: Ohia's debut through The Lioness, tightening the songwriting that would fully bloom on Didn't It Rain and Magnolia Electric Co.
A0776	Centro-matic	All the Falsest Hearts Can Try	2000	V1		Deep cut		One of several rapid-fire early Centro-matic releases building the fuzz-guitar, alt-country sound the band would refine through the 2000s.
A0777	Songs: Ohia	Ghost Tropic	2000	V1	V12	Recommended		Sounds indebted to Low- and Codeine-style slowcore more than any other Songs: Ohia record, sitting between the folk-noir of The Lioness and the gospel-country turn of Didn't It Rain.
A0778	Songs: Ohia	Protection Spells	2000	V1		Deep cut		A between-albums tour-only release from the same 2000 stretch that produced The Lioness and Ghost Tropic, showing the stripped-down solo mode Molina kept returning to between full-band records.
A0779	Songs: Ohia	The Lioness	2000	V1	V2	Essential		Made with Alasdair Roberts and members of Arab Strap in Scotland, linking the Songs: Ohia catalog directly to the UK folk underground that also produced Roberts's own records.
A0780	South San Gabriel	South San Gabriel Songs/Music	2000	V1		Deep cut		Splits off from Centro-matic as Will Johnson's hushed, slow-tempo alter ego, establishing a quieter parallel track to the Crazy Horse fuzz of his main band.
A0781	Centro-matic	Distance and Clime	2001	V1		Deep cut		Marks Centro-matic settling into its core lineup (Johnson, Pence, Danbom, Hedman), the same band that would carry through 'Love You Just the Same' and 'Fort Recovery'.
A0782	Songs: Ohia	Mi Sei Apparso Come Un Fantasma	2001	V1		Deep cut		A snapshot of the touring Songs: Ohia band, showing how the sound opened up once Molina had a full electric group behind him, pointing toward Didn't It Rain and The Magnolia Electric Co.
A0783	Amalgamated Sons of Rest	Amalgamated Sons of Rest	2002	V1	V2	Deep cut		Directly links Jason Molina to Will Oldham's Drag City deadpan-folk lineage (V2) through a shared acoustic side-project with Alasdair Roberts.
A0784	Songs: Ohia	Didn't It Rain	2002	V1		Essential	Y	The field guide's other suggested starting point alongside Magnolia Electric Co.; its gospel-tinged small-band sound is the direct bridge from the earlier solo Songs: Ohia records to the full-band Crazy Horse-scale group that followed.
A0785	Will Johnson	Murder of Tides	2002	V1		Deep cut		Opens Will Johnson's solo catalog, a stripped-down extension of the same Denton songwriting that fed Centro-matic and South San Gabriel.
A0786	Centro-matic	Love You Just the Same	2003	V1		Essential		Represents the fully formed Denton version of Centro-matic's Crazy Horse-indebted country rock, sounding like a sibling to Magnolia Electric Co.'s work of the same period.
A0787	Songs: Ohia	The Magnolia Electric Co.	2003	V1	V20	Essential		Sounds deeply indebted to Neil Young and Crazy Horse's ragged guitar rock, and gave its name to Magnolia Electric Co., the band Molina led for the rest of the decade.
